"step","time","part","epoch","loss","lr"
10,"2024-07-15 12:00:20.441446","train",0,0.6874545812606812,0.00035509136364869284
20,"2024-07-15 12:00:33.357205","train",1,0.6730104684829712,0.00037634137057255233
30,"2024-07-15 12:00:45.066622","train",1,0.6609981060028076,0.00041167785050020243
40,"2024-07-15 12:00:57.915542","train",2,0.6608200073242188,0.00046098079201917566
50,"2024-07-15 12:01:09.735919","train",2,0.6551212072372437,0.0005240827501643078
60,"2024-07-15 12:01:22.625151","train",3,0.6381015181541443,0.0006007694151021915
70,"2024-07-15 12:01:34.505453","train",3,0.6293253898620605,0.0006907803399802993
80,"2024-07-15 12:01:47.835284","train",4,0.6102837324142456,0.0007938098254688126
90,"2024-07-15 12:01:59.336853","train",4,0.6096504926681519,0.0009095079579910341
100,"2024-07-15 12:02:13.139218","train",5,0.5925590991973877,0.0010374817981163176
110,"2024-07-15 12:02:26.583600","train",6,0.5752807855606079,0.0011772967150794128
120,"2024-07-15 12:02:38.522983","train",6,0.5655516386032104,0.0013284778628938716
130,"2024-07-15 12:02:51.990547","train",7,0.545251727104187,0.001490511793046296
140,"2024-07-15 12:03:03.936250","train",7,0.5220263004302979,0.0016628481982942818
150,"2024-07-15 12:03:16.991395","train",8,0.4929974377155304,0.0018449017816457225
160,"2024-07-15 12:03:28.969934","train",8,0.46953755617141724,0.0020360542441719308
170,"2024-07-15 12:03:42.008549","train",9,0.44189098477363586,0.002235656384903504
180,"2024-07-15 12:03:53.428245","train",9,0.40268516540527344,0.0024430303056771335
190,"2024-07-15 12:04:07.724491","train",10,0.3764722943305969,0.0026574717134451873
200,"2024-07-15 12:04:21.075346","train",11,0.3393348753452301,0.0028782523122288205
210,"2024-07-15 12:04:33.050856","train",11,0.2948450446128845,0.0031046222765909928
220,"2024-07-15 12:04:46.160529","train",12,0.2581462860107422,0.003335812798228808
230,"2024-07-15 12:04:58.167039","train",12,0.22461985051631927,0.003571038697036395
240,"2024-07-15 12:05:11.291766","train",13,0.18953482806682587,0.0038095010877704427
250,"2024-07-15 12:05:23.321802","train",13,0.15942801535129547,0.004050390093261779
260,"2024-07-15 12:05:36.455155","train",14,0.12905322015285492,0.004292887594958239
270,"2024-07-15 12:05:47.895898","train",14,0.11736996471881866,0.004536170011457323
280,"2024-07-15 12:06:01.769677","train",15,0.09577290713787079,0.004779411095592013
290,"2024-07-15 12:06:14.916096","train",16,0.08412184566259384,0.005021784740570214
300,"2024-07-15 12:06:26.942027","train",16,0.08626693487167358,0.00526246778563742
310,"2024-07-15 12:06:40.075937","train",17,0.07276766747236252,0.005500642811733935
320,"2024-07-15 12:06:52.094710","train",17,0.0623108334839344,0.005735500917651865
330,"2024-07-15 12:07:05.651692","train",18,0.08961981534957886,0.00596624446726338
