"step","time","part","epoch","loss","lr"
10,"2024-07-15 04:03:30.809731","train",0,0.6268261075019836,0.0003507666911923557
20,"2024-07-15 04:03:44.102108","train",1,0.6134917140007019,0.00035906309878275776
30,"2024-07-15 04:03:55.809090","train",1,0.6027217507362366,0.0003728782296688101
40,"2024-07-15 04:04:08.630190","train",2,0.5989821553230286,0.000392193778198718
50,"2024-07-15 04:04:20.446427","train",2,0.5940729379653931,0.0004169841504270827
60,"2024-07-15 04:04:33.627760","train",3,0.5903853178024292,0.0004472164980279941
70,"2024-07-15 04:04:45.508323","train",3,0.5853382349014282,0.000482850761820499
80,"2024-07-15 04:04:58.769312","train",4,0.5823866128921509,0.0005238397248487625
90,"2024-07-15 04:05:10.111919","train",4,0.5755676031112671,0.0005701290749466001
100,"2024-07-15 04:05:24.309418","train",5,0.5701968669891357,0.0006216574767034713
110,"2024-07-15 04:05:37.497489","train",6,0.5671657919883728,0.0006783566527365659
120,"2024-07-15 04:05:49.438083","train",6,0.5599919557571411,0.0007401514741613349
130,"2024-07-15 04:06:02.740733","train",7,0.5530042052268982,0.0008069600601405321
140,"2024-07-15 04:06:14.694822","train",7,0.5470249652862549,0.0008786938863799033
150,"2024-07-15 04:06:27.683043","train",8,0.5392665863037109,0.0009552579024267411
160,"2024-07-15 04:06:39.655343","train",8,0.5312641263008118,0.0010365506576158904
170,"2024-07-15 04:06:52.964225","train",9,0.5224003791809082,0.001122464435496305
180,"2024-07-15 04:07:04.393394","train",9,0.5128718018531799,0.00121288539656005
190,"2024-07-15 04:07:18.588612","train",10,0.5022263526916504,0.001307693729084629
200,"2024-07-15 04:07:31.676962","train",11,0.4903680682182312,0.001406763807888736
210,"2024-07-15 04:07:43.679485","train",11,0.4813404977321625,0.0015099643607911235
220,"2024-07-15 04:07:56.773167","train",12,0.4628123641014099,0.001617158642551961
230,"2024-07-15 04:08:08.791849","train",12,0.45122283697128296,0.001728204616066261
240,"2024-07-15 04:08:22.105621","train",13,0.42978012561798096,0.0018429551405692362
250,"2024-07-15 04:08:34.128148","train",13,0.41380074620246887,0.0019612581666042517
260,"2024-07-15 04:08:47.558494","train",14,0.3941176235675812,0.002082956937494983
270,"2024-07-15 04:08:59.004142","train",14,0.3703170418739319,0.0022078901970548686
280,"2024-07-15 04:09:13.194500","train",15,0.34769511222839355,0.002335892403258596
290,"2024-07-15 04:09:26.338572","train",16,0.3213511109352112,0.002466793947592507
300,"2024-07-15 04:09:38.346196","train",16,0.2925018072128296,0.0026004213797933056
310,"2024-07-15 04:09:51.487283","train",17,0.2607727646827698,0.0027365976376772117
320,"2024-07-15 04:10:03.519035","train",17,0.2353084534406662,0.0028751422817551
330,"2024-07-15 04:10:16.834531","train",18,0.20447087287902832,0.003015871734322698
340,"2024-07-15 04:10:28.854777","train",18,0.17768071591854095,0.003158599522709066
350,"2024-07-15 04:10:42.285877","train",19,0.14818546175956726,0.0033031365263610276
360,"2024-07-15 04:10:53.748939","train",19,0.14989857375621796,0.003449291227436163
370,"2024-07-15 04:11:07.966964","train",20,0.12232285737991333,0.0035968699645723126
380,"2024-07-15 04:11:21.110833","train",21,0.11441591382026672,0.003745677189497346
390,"2024-07-15 04:11:33.125389","train",21,0.11461137235164642,0.0038955157261391536
400,"2024-07-15 04:11:46.262672","train",22,0.09332787990570068,0.004046187031892565
410,"2024-07-15 04:11:58.277700","train",22,0.07868890464305878,0.004197491460696957
420,"2024-07-15 04:12:11.852662","train",23,0.08311744779348373,0.004349228527576026
430,"2024-07-15 04:12:23.878890","train",23,0.08421085774898529,0.004501197174289112
440,"2024-07-15 04:12:37.029565","train",24,0.06029390171170235,0.004653196035742167
450,"2024-07-15 04:12:48.471836","train",24,0.06411047279834747,0.004805023706805293
460,"2024-07-15 04:13:02.382564","train",25,0.056224048137664795,0.004956479009183331
470,"2024-07-15 04:13:15.512820","train",26,0.06332147866487503,0.005107361257985897
480,"2024-07-15 04:13:27.529019","train",26,0.0603615902364254,0.005257470527643621
490,"2024-07-15 04:13:40.990901","train",27,0.06139794737100601,0.0054066079168182575
500,"2024-07-15 04:13:53.008000","train",27,0.053627122193574905,0.005554575811955651
510,"2024-07-15 04:14:06.098418","train",28,0.06390174478292465,0.0057011781491323205
520,"2024-07-15 04:14:18.121331","train",28,0.061362188309431076,0.0058462206738487225
530,"2024-07-15 04:14:31.440279","train",29,0.053030796349048615,0.0059895111984249495
540,"2024-07-15 04:14:42.892124","train",29,0.06734616309404373,0.006130859856657792
550,"2024-07-15 04:14:57.208347","train",30,0.05920518562197685,0.006270079355401763
