"step","time","part","epoch","loss","lr"
10,"2024-08-15 23:54:16.066348","train",0,0.5949740409851074,0.0003498726076914052
20,"2024-08-15 23:54:27.285342","train",0,0.5766901969909668,0.0003554887513309655
30,"2024-08-15 23:54:38.553177","train",0,0.5789580941200256,0.00036484339412089575
40,"2024-08-15 23:54:51.700436","train",1,0.5740240812301636,0.0003779281464174975
50,"2024-08-15 23:55:03.049289","train",1,0.5727835893630981,0.0003947312732553547
60,"2024-08-15 23:55:14.447815","train",1,0.5657082796096802,0.0004152377048717501
70,"2024-08-15 23:55:25.866054","train",1,0.5603489875793457,0.0004394290502218682
80,"2024-08-15 23:55:39.420969","train",2,0.5540280342102051,0.00046728361347267953
90,"2024-08-15 23:55:50.858055","train",2,0.5497807264328003,0.0004987764134606887
100,"2024-08-15 23:56:02.303715","train",2,0.5516285300254822,0.0005338792060961012
110,"2024-08-15 23:56:15.524046","train",3,0.5463590025901794,0.000572560509693348
120,"2024-08-15 23:56:26.974939","train",3,0.5476783514022827,0.0006147856332051876
130,"2024-08-15 23:56:38.426584","train",3,0.5276716947555542,0.0006605167073351383
140,"2024-08-15 23:56:49.883770","train",3,0.5261005163192749,0.0007097127185002727
150,"2024-08-15 23:57:03.282593","train",4,0.5241336226463318,0.0007623295456139559
160,"2024-08-15 23:57:14.744872","train",4,0.5215244293212891,0.0008183199996555212
170,"2024-08-15 23:57:26.200844","train",4,0.5076284408569336,0.0008776338659914045
180,"2024-08-15 23:57:39.426422","train",5,0.5030725002288818,0.0009402179494097714
190,"2024-08-15 23:57:50.885745","train",5,0.4963538348674774,0.001006016121828263
200,"2024-08-15 23:58:02.343956","train",5,0.49152064323425293,0.0010749693726320548
210,"2024-08-15 23:58:13.813302","train",5,0.47020840644836426,0.001147015861597104
220,"2024-08-15 23:58:27.363045","train",6,0.4724668860435486,0.0012220909743511027
230,"2024-08-15 23:58:38.824880","train",6,0.46796366572380066,0.0013001273803224175
240,"2024-08-15 23:58:50.286532","train",6,0.43888935446739197,0.0013810550931250172
250,"2024-08-15 23:59:03.635641","train",7,0.42014414072036743,0.0014648015333252598
260,"2024-08-15 23:59:15.110191","train",7,0.40569180250167847,0.0015512915935342346
270,"2024-08-15 23:59:26.586164","train",7,0.39723920822143555,0.0016404477057672786
280,"2024-08-15 23:59:38.062195","train",7,0.38349971175193787,0.0017321899110102606
290,"2024-08-15 23:59:51.491534","train",8,0.3636450171470642,0.001826435930930249
300,"2024-08-16 00:00:02.964664","train",8,0.3418148458003998,0.0019231012416662339
310,"2024-08-16 00:00:14.442684","train",8,0.347747266292572,0.002022099149633743
320,"2024-08-16 00:00:27.778079","train",9,0.3288646340370178,0.002123340869275358
330,"2024-08-16 00:00:39.247007","train",9,0.2939342260360718,0.0022267356026873944
340,"2024-08-16 00:00:50.718080","train",9,0.28856325149536133,0.002332190621051347
350,"2024-08-16 00:01:02.196150","train",9,0.25350868701934814,0.002439611347797059
360,"2024-08-16 00:01:15.849445","train",10,0.2328091859817505,0.002548901443423037
370,"2024-08-16 00:01:27.320800","train",10,0.22205913066864014,0.0026599628918978335
380,"2024-08-16 00:01:38.795439","train",10,0.19854387640953064,0.0027726960885650145
390,"2024-08-16 00:01:52.242517","train",11,0.18066583573818207,0.002886999929472875
400,"2024-08-16 00:02:03.723967","train",11,0.16374348104000092,0.0030027719020487937
410,"2024-08-16 00:02:15.199398","train",11,0.15005435049533844,0.0031199081770368793
420,"2024-08-16 00:02:26.677112","train",11,0.13594703376293182,0.003238303701616498
430,"2024-08-16 00:02:40.263661","train",12,0.12939929962158203,0.0033578522936181313
440,"2024-08-16 00:02:51.741725","train",12,0.11279299855232239,0.003478446736752087
450,"2024-08-16 00:03:03.220200","train",12,0.10424481332302094,0.003599978876764649
460,"2024-08-16 00:03:16.518655","train",13,0.09879408776760101,0.003722339718435443
470,"2024-08-16 00:03:28.001764","train",13,0.08859054744243622,0.003845419523329014
480,"2024-08-16 00:03:39.476550","train",13,0.08253888785839081,0.003969107908212935
490,"2024-08-16 00:03:50.953712","train",13,0.07568971812725067,0.0040932939440542215
500,"2024-08-16 00:04:04.437851","train",14,0.06858479976654053,0.00421786625550523
510,"2024-08-16 00:04:15.916376","train",14,0.06586357951164246,0.004342713120789831
520,"2024-08-16 00:04:27.400278","train",14,0.064700186252594,0.004467722571900274
530,"2024-08-16 00:04:40.660124","train",15,0.05880090594291687,0.004592782495014891
540,"2024-08-16 00:04:52.135192","train",15,0.05929891765117645,0.004717780731046556
550,"2024-08-16 00:05:03.612657","train",15,0.053738318383693695,0.004842605176231765
560,"2024-08-16 00:05:15.088710","train",15,0.04784229397773743,0.004967143882670071
570,"2024-08-16 00:05:28.592203","train",16,0.041872113943099976,0.005091285158723756
580,"2024-08-16 00:05:40.071265","train",16,0.04983360320329666,0.005214917669187667
590,"2024-08-16 00:05:51.552601","train",16,0.04639697074890137,0.0053379305351393905
600,"2024-08-16 00:06:04.841998","train",17,0.04429078847169876,0.005460213433380207
610,"2024-08-16 00:06:16.323175","train",17,0.035862069576978683,0.005581656695377659
620,"2024-08-16 00:06:27.809853","train",17,0.03516191989183426,0.005702151405620978
630,"2024-08-16 00:06:39.294163","train",17,0.04005056619644165,0.005821589499301172
640,"2024-08-16 00:06:52.982050","train",18,0.04015620797872543,0.005939863859228166
650,"2024-08-16 00:07:04.464607","train",18,0.04422283172607422,0.006056868411898083
660,"2024-08-16 00:07:15.942226","train",18,0.04014655202627182,0.006172498222624498
670,"2024-08-16 00:07:29.354815","train",19,0.029752498492598534,0.006286649589648348
