"step","time","part","epoch","loss","lr"
10,"2024-08-16 02:23:19.382814","train",0,0.7212806940078735,0.0003484677321851544
20,"2024-08-16 02:23:23.662504","train",0,0.7300692200660706,0.0003498708239640866
30,"2024-08-16 02:23:27.955559","train",0,0.7213704586029053,0.00035220896103067487
40,"2024-08-16 02:23:32.255251","train",0,0.6810362935066223,0.00035548161961961207
50,"2024-08-16 02:23:36.578444","train",0,0.7021809220314026,0.00035968806662373815
60,"2024-08-16 02:23:40.908216","train",0,0.6955227255821228,0.00036482735975825777
70,"2024-08-16 02:23:45.239618","train",0,0.6971384882926941,0.0003708983477718267
80,"2024-08-16 02:23:51.547569","train",1,0.6987212896347046,0.0003778996707044426
90,"2024-08-16 02:23:55.898070","train",1,0.657766580581665,0.00038582976019208015
100,"2024-08-16 02:24:00.253122","train",1,0.6806451678276062,0.0003946868398180363
110,"2024-08-16 02:24:04.611951","train",1,0.675952672958374,0.0004044689255108518
120,"2024-08-16 02:24:08.977314","train",1,0.6753846406936646,0.0004151738259887631
130,"2024-08-16 02:24:13.343325","train",1,0.6634474992752075,0.0004267991432505801
140,"2024-08-16 02:24:17.726778","train",1,0.6670824885368347,0.0004393422731128471
150,"2024-08-16 02:24:24.087816","train",2,0.660406231880188,0.00045280040579322167
160,"2024-08-16 02:24:28.480599","train",2,0.6373047232627869,0.0004671705265398788
170,"2024-08-16 02:24:32.873458","train",2,0.658123254776001,0.0004824494163068512
180,"2024-08-16 02:24:37.268789","train",2,0.6352083683013916,0.0004986336524751295
190,"2024-08-16 02:24:41.662102","train",2,0.618081271648407,0.0005157196096193545
200,"2024-08-16 02:24:46.061679","train",2,0.6372191905975342,0.0005337034603199505
210,"2024-08-16 02:24:50.460096","train",2,0.6166879534721375,0.0005525811760205071
220,"2024-08-16 02:24:56.858328","train",3,0.6104464530944824,0.0005723485279302155
230,"2024-08-16 02:25:01.258677","train",3,0.5918918251991272,0.000593001087971147
240,"2024-08-16 02:25:05.658072","train",3,0.5844671726226807,0.0006145342297702062
250,"2024-08-16 02:25:10.056144","train",3,0.592914342880249,0.0006369431296954602
260,"2024-08-16 02:25:14.456732","train",3,0.5801435112953186,0.0006602227679366936
270,"2024-08-16 02:25:18.855515","train",3,0.5658791065216064,0.0006843679296298939
280,"2024-08-16 02:25:23.256090","train",3,0.5484635233879089,0.0007093732060254217
290,"2024-08-16 02:25:29.632918","train",4,0.5636677145957947,0.0007352329956996362
300,"2024-08-16 02:25:34.030933","train",4,0.5441507697105408,0.0007619415058096549
310,"2024-08-16 02:25:38.423770","train",4,0.5268275141716003,0.0007894927533910207
320,"2024-08-16 02:25:42.815211","train",4,0.5365878939628601,0.0008178805666979282
330,"2024-08-16 02:25:47.210757","train",4,0.5147877335548401,0.0008470985865857653
340,"2024-08-16 02:25:51.612919","train",4,0.5116062760353088,0.0008771402679356201
350,"2024-08-16 02:25:56.022421","train",4,0.4838329553604126,0.0009079988811204519
360,"2024-08-16 02:26:02.340645","train",5,0.5042846202850342,0.0009396675135125892
370,"2024-08-16 02:26:06.741449","train",5,0.4912969470024109,0.0009721390710322299
380,"2024-08-16 02:26:11.140080","train",5,0.4672696590423584,0.0010054062797365789
390,"2024-08-16 02:26:15.538537","train",5,0.46539807319641113,0.0010394616874492852
400,"2024-08-16 02:26:19.938176","train",5,0.4297923445701599,0.0010742976654298
410,"2024-08-16 02:26:24.338591","train",5,0.4280738830566406,0.0011099064100822892
420,"2024-08-16 02:26:28.737591","train",5,0.4204157888889313,0.0011462799447037111
430,"2024-08-16 02:26:35.097414","train",6,0.40072405338287354,0.001183410121270683
440,"2024-08-16 02:26:39.511811","train",6,0.3963489234447479,0.0012212886222647042
450,"2024-08-16 02:26:43.916934","train",6,0.38336387276649475,0.001259906962535376
460,"2024-08-16 02:26:48.331424","train",6,0.3751331865787506,0.0012992564912011435
470,"2024-08-16 02:26:52.735546","train",6,0.370398610830307,0.0013393283935871853
480,"2024-08-16 02:26:57.150434","train",6,0.3490029573440552,0.001380113693199984
490,"2024-08-16 02:27:01.562705","train",6,0.33057475090026855,0.0014216032537381447
500,"2024-08-16 02:27:07.922715","train",7,0.3161413073539734,0.00146378778113902
510,"2024-08-16 02:27:12.324732","train",7,0.29992184042930603,0.001506657825660662
520,"2024-08-16 02:27:16.723844","train",7,0.2871280014514923,0.0015502037839986663
530,"2024-08-16 02:27:21.121147","train",7,0.2795322835445404,0.001594415901437397
540,"2024-08-16 02:27:25.519599","train",7,0.2692137062549591,0.0016392842740351387
550,"2024-08-16 02:27:29.921189","train",7,0.25880926847457886,0.0016847988508426762
560,"2024-08-16 02:27:34.318150","train",7,0.2475062608718872,0.0017309494361548066
570,"2024-08-16 02:27:40.636879","train",8,0.23040004074573517,0.0017777256917942703
580,"2024-08-16 02:27:45.052418","train",8,0.220389723777771,0.0018251171394276094
590,"2024-08-16 02:27:49.457737","train",8,0.215555340051651,0.001873113162912411
600,"2024-08-16 02:27:53.871400","train",8,0.20882949233055115,0.0019217030106754253
610,"2024-08-16 02:27:58.276947","train",8,0.19508618116378784,0.0019708757981210245
620,"2024-08-16 02:28:02.691229","train",8,0.20267410576343536,0.002020620510069456
630,"2024-08-16 02:28:07.097056","train",8,0.1761624962091446,0.002070926003224354
640,"2024-08-16 02:28:13.464858","train",9,0.16760794818401337,0.0021217810086689333
650,"2024-08-16 02:28:17.866112","train",9,0.16409903764724731,0.0021731741343903477
660,"2024-08-16 02:28:22.266189","train",9,0.16242729127407074,0.0022250938678316113
670,"2024-08-16 02:28:26.663610","train",9,0.14873884618282318,0.0022775285784705102
680,"2024-08-16 02:28:31.061959","train",9,0.15124356746673584,0.002330466520424964
690,"2024-08-16 02:28:35.460502","train",9,0.1393054872751236,0.0023838958350842123
700,"2024-08-16 02:28:39.859814","train",9,0.13903051614761353,0.0024378045537652585
710,"2024-08-16 02:28:46.216856","train",10,0.13089381158351898,0.0024921806003939716
720,"2024-08-16 02:28:50.617756","train",10,0.12103935331106186,0.002547011794210241
730,"2024-08-16 02:28:55.022618","train",10,0.13268521428108215,0.0026022858524965865
740,"2024-08-16 02:28:59.431692","train",10,0.11267554014921188,0.002657990393329605
750,"2024-08-16 02:29:03.832777","train",10,0.1325247436761856,0.0027141129383536425
760,"2024-08-16 02:29:08.233059","train",10,0.1108931228518486,0.002770640915576065
770,"2024-08-16 02:29:12.634370","train",10,0.10032803565263748,0.002827561662183505
780,"2024-08-16 02:29:19.104040","train",11,0.1150064542889595,0.0028848624273784583
790,"2024-08-16 02:29:23.506729","train",11,0.1029563844203949,0.002942530375235582
